"IntegrationTime","Points:0","Points:1","Points:2"
2.086,0.13863,-0.48231,7.1325
2.1442,0.1519,-0.52254,7.188
2.1874,0.16234,-0.55415,7.2218
2.2395,0.17583,-0.59485,7.2545
2.3481,0.20671,-0.68713,7.2978
2.462,0.24245,-0.79252,7.315
2.6388,0.3052,-0.97454,7.3025
2.6829,0.32438,-1.0296,7.2925
2.7369,0.34909,-1.0999,7.2755
2.7825,0.37126,-1.1624,7.2557
2.9266,0.444,-1.3633,7.1688
2.967,0.46772,-1.4277,7.1348
2.9999,0.48781,-1.4818,7.1042
3.0231,0.5024,-1.521,7.0808
3.0547,0.52268,-1.575,7.0461
3.1898,0.6091,-1.7995,6.8672
3.2395,0.64477,-1.89,6.7807
3.2737,0.67037,-1.9542,6.7145
3.2972,0.68842,-1.9991,6.6659
3.3228,0.7084,-2.0484,6.61
3.347,0.72753,-2.0948,6.5538
3.489,0.83608,-2.3421,6.1888
3.6425,0.95867,-2.5893,5.6898
3.7166,1.022,-2.6963,5.3947
3.8475,1.1328,-2.8396,4.8213
3.9635,1.239,-2.9075,4.2434
4.0709,1.3545,-2.9044,3.6726
4.099,1.3892,-2.8914,3.5199
4.1884,1.521,-2.8146,3.043
4.2773,1.6922,-2.6802,2.5923
4.3554,1.8818,-2.5123,2.2216
0,0.79469,-0.52435,0.1803
0.040682,0.87267,-0.34892,0.18709
0.098934,0.91807,-0.08258,0.19742
0.15751,0.88463,0.18088,0.20867
0.21538,0.78024,0.41473,0.22052
0.30386,0.51047,0.68214,0.24078
0.39216,0.16684,0.80114,0.26353
0.44046,-0.024109,0.79888,0.277
0.4852,-0.19127,0.75731,0.2902
0.57348,-0.46712,0.57825,0.31899
0.61909,-0.56604,0.45039,0.33515
0.67242,-0.63988,0.28291,0.35511
0.76149,-0.65825,-0.0084854,0.39223
0.85122,-0.55591,-0.26239,0.43454
0.92313,-0.41218,-0.40601,0.47214
1.006,-0.21213,-0.49146,0.52046
1.0512,-0.10347,-0.50101,0.5487
1.1112,0.031368,-0.47913,0.59061
1.1991,0.19212,-0.3908,0.66448
1.2965,0.29813,-0.24949,0.76527
1.3943,0.3289,-0.10379,0.88944
1.4728,0.31163,-0.0042666,1.009
1.5262,0.28521,0.050732,1.1034
1.5773,0.2535,0.092015,1.2039
1.6205,0.22414,0.11894,1.2993
1.7024,0.16966,0.15059,1.5012
1.7628,0.13132,0.16172,1.6805
1.8218,0.097892,0.16468,1.8828
1.8693,0.074397,0.16311,2.068
1.9292,0.05016,0.15775,2.3267
2.0284,0.021476,0.14552,2.8144
2.0947,0.0082562,0.13707,3.1948
2.1761,-0.0028464,0.1286,3.7004
2.2539,-0.0099714,0.12337,4.215
2.3171,-0.014075,0.12167,4.6336
2.3997,-0.018354,0.12307,5.1583
2.4919,-0.022716,0.12959,5.6937
2.583,-0.027132,0.14097,6.1356
2.7084,-0.034701,0.16556,6.6189
2.7916,-0.040348,0.18581,6.8397
2.8847,-0.047814,0.21303,7.0281
2.9741,-0.056111,0.24352,7.1598
3.0746,-0.067126,0.28406,7.2672
3.1928,-0.08245,0.3403,7.3515
3.3147,-0.10015,0.40482,7.4033
3.4446,-0.12138,0.48149,7.435
3.5043,-0.13256,0.52159,7.4445
3.547,-0.14124,0.55257,7.4493
3.5983,-0.1523,0.59172,7.452
3.7565,-0.18896,0.71931,7.4425
3.9134,-0.23315,0.86941,7.4108
3.9849,-0.25755,0.95094,7.3883
4.0303,-0.2745,1.0071,7.3714
4.0621,-0.28708,1.0487,7.3582
4.0993,-0.30236,1.0987,7.3406
4.2561,-0.36892,1.3116,7.2442
4.3234,-0.40256,1.4165,7.1865
4.3753,-0.43032,1.5019,7.1353
4.3988,-0.44362,1.5424,7.1098
